Артикул,Товар,Категория,Подкатегория,Цена за штуку,Цена за упаковку,Цена за коробку,Кол-во в упаковке,Кол-во в коробке
17136,"Контейнер 1000 мл., прозрачный Аке пласт, 186*132 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,25,2500,12500,100,500
17137,"Контейнер 1500 мл., прозрачный Аке пласт, 186*132 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,36,3600,18000,100,500
17141,"Контейнер 2000 мл., прозрачный Аке пласт",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,43,4300,21500,100,500
17138,"Контейнер 500 мл., черный Аке пласт, 186*132 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,21,2100,10500,100,500
17139,"Контейнер 750 мл., черный Аке пласт, 179*132*48 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,23,2300,11500,100,500
17140,"Контейнер 1000 мл., черный Аке Пласт, 186*132*65 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,25,2500,12500,100,500
17130,"Крышка к контейнеру СпК-126, прозрачная",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,22,1100,11000,50,500
17131,"Контейнер СпК-126 250 мл., черный 126*126*39 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,22,1100,11000,50,500
17132,"Контейнер СпК-126 375 мл., черный 126*126*51.5 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,25,1250,12500,50,500
17142,"Контейнер СпК-126 250 мл., прозрачный 126*126*39 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,23,1150,11500,50,500
